PCA1,PCA2,Cluster
4.7287814280287135,2.263971274284601,1
0.9926353987152879,-0.3140406646815508,4
4.7287814280287135,2.263971274284601,1
2.126150907510766,0.43477729133137144,4
0.49227251441220815,-0.37799367795557665,4
0.20933513305795107,-0.7278141279726466,2
4.7287814280287135,2.263971274284601,1
4.727321552817331,2.2651519234443955,1
0.9979008109660401,-0.32065661038258697,4
-0.12737176139944487,-0.7473038643330822,2
0.5043959355027448,-0.4893800002324748,4
0.21245793481768419,-0.6289952731487103,2
0.042419215141693556,-0.810425507387023,2
0.5622214982222805,-0.5620587321771566,4
0.9918553376411025,-0.3130605245776936,4
-0.383654913276349,-0.3573206005289501,2
4.7287814280287135,2.263971274284601,1
-0.23375881599775447,-0.957537077914777,2
0.998875887308772,-0.32188178551240854,4
-0.7206973162545592,-0.29114364939745435,2
-0.1866858977406082,-1.0014788917359956,2
4.728750104015801,2.264003497873506,1
0.1372922653606717,-0.8169183181904817,2
1.0021911468740603,-0.3260473809538016,4
4.7287814280287135,2.263971274284601,1
0.21201546078503405,-0.7530614510639506,2
-0.4579708552062247,-0.5592491200993365,2
1.6033974323347715,0.14503718738792828,4
0.35728063163696805,-0.6989384854778976,2
0.07900886753120163,-0.22116842699591752,0
0.9982908415031329,-0.32114668043451555,4
0.5662157756319462,-0.5670561034631592,4
0.010842031582752517,-0.855270576292602,2
1.205385017635312,-0.07348885670361105,4
0.1978883780836864,-0.655389875251501,2
-0.2269313453969831,-0.28941383245860647,2
0.6797936975318075,-0.34304706127530454,4
0.0026884469044757293,-0.7601621509078287,2
0.9799182111832653,-0.27334986593313676,4
-0.07763579672904866,-0.809839489446511,2
-1.0591332934279445,-0.06008975029846387,2
0.5771366306705433,-0.5807780649171601,4
-0.242020718562273,-0.9714411347312452,2
0.36299872245063836,-0.7061089484086734,2
0.3524052499233086,-0.69281260982879,2
-0.27364237447721135,-0.8717666774812308,2
0.6268937841345309,-0.4482301837180441,4
2.230695072961333,0.5544875878707459,4
-0.376097285656266,-0.8746557053998099,2
4.7287814280287135,2.263971274284601,1
4.7287814280287135,2.263971274284601,1
0.1502416779785082,-0.7316025767130184,2
0.9994609331144112,-0.3226168905903015,4
0.6561077177484899,-0.48281147148526343,4
0.6385308198234427,-0.41741823881032386,2
4.7287814280287135,2.263971274284601,1
4.7287814280287135,2.263971274284601,1
-0.7868077062909106,-0.25912049892877226,2
0.34928500562656656,-0.6888920494133611,2
0.3627484956361675,-0.4983596238352595,2
-0.08711172016555305,-0.9293784782818846,2
1.8047174787897768,0.3850523026737216,4
-1.1074387719433705,-0.01524370286864487,0
-0.3132281936068939,-0.8706938397213141,2
4.7287814280287135,2.263971274284601,1
-0.6452293856954933,-0.7224185532223112,2
-1.4947756148175921,0.8537498582119465,2
4.7287814280287135,2.263971274284601,1
-0.3481166122316689,-0.820625058910142,2
4.7287814280287135,2.263971274284601,1
4.7287814280287135,2.263971274284601,1
0.668930518156017,-0.41822329184570356,4
0.9967307193547619,-0.3191864002268012,4
-0.19038056782332977,-0.8982364447162344,2
0.5550999053248027,-0.5530891069831938,4
-0.0632868447483679,-0.7621853519200489,2
-2.4299352426962533,1.9527111211101331,3
0.35480808117169055,-0.6958174773181726,2
